filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
OAF_gap_fear.wav,0.3279123604,0.02173222601,2190.081285,2342.80142,3918.747993,0.09777664812,-451.7716064,60.4377861,3.375891209,-13.23002529,0.5492221117,3.891749859,-17.22469521,1.364613414,-17.5961113,-2.688488483,-13.0662775,-3.524182081,-3.419005156,3.443368673,-4.608670235,2.92399621,-0.6242543459,5.205975533,3.395807266,1.528693795,OAF_Fear
OAF_choice_fear.wav,0.3094113767,0.01703203097,2816.04733,2492.396698,4978.50647,0.1446940104,-453.7905273,42.38267517,10.8599081,-3.712481976,0.2573026121,0.6435571313,-12.3365612,-5.098566055,-15.3269043,-0.8800346851,-15.00422859,-7.176149368,-2.074394464,3.008955717,0.8360683322,4.932634354,-0.5158970356,12.61585999,2.36516571,5.16257906,OAF_Fear
OAF_page_fear.wav,0.2712983489,0.02013923973,2452.536516,2454.102448,4547.488027,0.1113615689,-449.4836121,44.22642136,8.84414959,6.916295052,6.745134354,1.973993421,-15.8232975,0.3431072235,-18.16003418,-4.63896656,-17.82725716,-6.158133984,-4.548148155,5.194562435,-4.148253441,4.290454388,1.505419016,4.770503998,4.33093071,-2.335966349,OAF_Fear
OAF_home_fear.wav,0.2425822318,0.02285179682,2070.601458,2280.299198,3689.619356,0.09175379136,-440.9677734,70.66823578,22.54531288,-7.471500397,-12.21172905,-6.36521244,-9.588734627,7.667176247,-28.17867661,-0.9783650637,-13.62318707,-10.08782005,-1.690873265,1.657755733,-4.873356342,3.931026697,-2.71303606,7.556959152,-0.9630640745,0.4278024435,OAF_Fear
OAF_lease_fear.wav,0.2819701135,0.02906018496,2785.515698,2498.559352,5149.868376,0.1401013361,-411.6973877,32.03063583,10.16918182,5.308995247,-3.792219162,6.23154068,-12.21078205,-4.930943012,-12.98021317,-4.110345364,-18.45080376,0.1836638302,-10.1167593,5.709770203,-3.437972307,-1.84860158,-0.5935537219,3.565843105,-3.055363894,1.321402907,OAF_Fear
OAF_sour_fear.wav,0.2619298398,0.0286372304,2784.159053,2364.04747,4701.838235,0.1673081342,-390.5484619,47.71820831,4.970981121,-17.06170845,-15.12638378,5.59815979,-10.90195942,-3.693911314,-15.47371006,4.230418682,-24.38977051,2.522171497,-5.594455719,-0.4481579363,-4.44375658,-1.387595177,-10.74575138,3.089078188,-3.171734095,-4.681807995,OAF_Fear
OAF_neat_fear.wav,0.2892681658,0.02740498632,2226.027399,2460.855163,4464.661208,0.08817608173,-449.0708923,44.37790298,12.21112823,8.244207382,4.317797661,2.992087126,-14.0639925,2.380995512,-15.54899216,-7.046398163,-16.02178383,-9.67022419,-7.803690434,4.803967953,-4.99834013,-0.9668307304,-2.125947952,2.103302717,-0.2221093327,1.656941295,OAF_Fear
OAF_hash_fear.wav,0.3008385599,0.01805411652,2492.50846,2351.345641,4391.819435,0.129153481,-420.7972107,55.0734024,-8.402757645,-4.453674793,1.899112225,-0.4894259572,-12.58118343,4.57692194,-11.71128559,5.643524647,-13.68561363,-5.649355888,-4.562200069,0.4749431312,0.05982514843,1.730857372,-4.053823471,9.045740128,3.648439884,-1.355432034,OAF_Fear
OAF_vote_fear.wav,0.2686311603,0.03116557188,2307.737588,2479.108172,4480.622665,0.09350939764,-426.6790466,56.1580925,15.46956921,-4.14859724,-6.727828026,-1.489692092,-12.43608093,0.3871064186,-18.13081741,-2.290521145,-18.59428978,-7.573693275,-11.35902882,7.680475712,-3.11127162,-0.3625047505,-0.7116217017,-1.406545162,-1.007800698,-2.518720865,OAF_Fear
OAF_peg_fear.wav,0.2763313055,0.03577033803,2118.059155,2260.239512,3827.037464,0.09122721354,-405.8536682,52.79138565,4.30917263,3.526919603,3.622699738,-2.112270594,-21.80364799,-2.434445143,-11.07708263,-2.33618784,-18.40911484,-4.167502403,-3.363544464,-0.4233945906,-4.252478123,-2.972486496,-4.338598728,-0.1049803942,-0.04036188126,-3.120985508,OAF_Fear
OAF_tough_fear.wav,0.3942361772,0.02013978176,2607.619898,2471.783274,4871.289063,0.1253526476,-436.7984009,50.62507629,8.239627838,-6.494131088,-5.743188381,5.516143322,-8.842041016,2.032092571,-12.40302849,0.9668960571,-9.338468552,-4.191089153,-2.891566038,5.249727249,-3.471555471,3.793357849,-3.325067282,8.383921623,1.930565476,3.090307713,OAF_Fear
OAF_wash_fear.wav,0.2620668709,0.02914699167,2406.425496,2379.286061,4233.202761,0.1195123018,-395.4645081,57.71585083,4.731140137,-12.79766178,-13.8797226,-4.246409416,-13.11669731,5.175610542,-20.83248711,1.44282496,-15.70799828,-5.239274025,-8.708767891,2.850798607,-5.77775526,1.137714982,-5.235514641,1.984968781,1.475558758,-1.209298372,OAF_Fear
OAF_soup_fear.wav,0.3080892861,0.02238770016,2893.580768,2460.570278,5129.733511,0.1682504507,-430.7747803,35.34329224,12.27046967,-1.017374396,-1.901601791,8.674807549,-6.783986568,0.9368124604,-15.18761539,1.657577872,-22.79587555,0.06988327205,-9.550350189,1.14929986,0.4058206081,2.061632395,-1.579136014,6.048346996,0.783470273,1.408775091,OAF_Fear
OAF_such_fear.wav,0.3057839572,0.02873401716,3256.447189,2511.136751,5590.389633,0.1958465576,-386.3770752,25.2772274,8.744409561,-3.341217518,-6.432354927,2.953593254,-14.07383919,1.140706778,-12.71858978,2.83818531,-15.40571499,0.908495605,-7.430291176,4.839798927,-1.75159812,-1.122434974,-3.460162163,3.394282818,0.2817901373,-0.9885426164,OAF_Fear
OAF_mess_fear.wav,0.2787112892,0.02496850491,2623.357439,2381.068619,4527.210462,0.138671875,-419.0338745,52.66895676,14.42266178,-7.667737961,-1.759308457,6.87815094,-17.48056793,-2.56918025,-13.47738266,-2.268038273,-12.38918209,-8.042266846,-7.427128315,3.114397526,-3.584656954,-0.929248929,-4.494202137,5.939465046,1.310750961,-4.012844563,OAF_Fear
OAF_half_fear.wav,0.3181697428,0.02661496028,2280.103622,2297.361814,4054.971313,0.1060858832,-392.936615,66.65018463,-9.746824265,-16.54980278,-5.535158157,-0.1148197353,-13.3609581,1.496573806,-10.47786999,2.024416924,-17.55720139,-0.5897293091,-10.52428246,3.30866313,-5.528918266,-2.14877367,-3.288782835,2.653209448,3.489858627,0.3876479864,OAF_Fear
OAF_cool_fear.wav,0.2881894112,0.03264353424,2086.239956,2333.571663,3874.284668,0.09167131696,-427.5917969,62.83917999,11.49824142,-4.234426975,-7.672575951,-1.445693612,-7.523130417,3.048058748,-19.17409325,-1.389837146,-24.29686737,-7.457331181,-8.000031471,3.240577459,-4.763607025,3.653301239,-3.370103121,2.09432888,-2.446883678,-3.2718153,OAF_Fear
OAF_time_fear.wav,0.2299067974,0.03963509575,2184.269591,2263.471354,3963.577548,0.09596946023,-376.8076782,57.39299774,-1.019723415,-10.04733562,-11.0684433,6.224348545,-17.05047607,-5.838757515,-18.11574364,-2.905896664,-14.55393314,-4.303426266,-7.814528942,1.740447998,-8.177096367,-2.592456102,-6.352606297,2.537136793,4.239251137,-2.93000865,OAF_Fear
OAF_match_fear.wav,0.3025992811,0.02310474776,2259.414446,2215.562655,3934.965408,0.113074934,-436.9549255,59.29923248,4.36123085,-4.867509842,0.4761198759,7.787478924,-17.869627,0.8632528186,-14.57630253,-0.9193259478,-13.56228256,-5.649001122,-7.044312477,5.412974358,-2.615403652,1.835309148,-3.567702055,2.961773872,2.627461195,-9.127038002,OAF_Fear
OAF_vine_fear.wav,0.2251347899,0.0241564028,2219.157415,2362.177617,4045.587409,0.1089134739,-431.3358765,62.26848221,19.85831642,-7.813453197,-6.608799458,5.804232597,-13.99801826,1.272151113,-16.01240349,-6.682159424,-15.07109165,-7.234199524,-10.31126595,3.297977448,-4.177474022,-0.7134737372,-2.250585318,4.283437252,-2.208001614,-1.675104141,OAF_Fear
OAF_life_fear.wav,0.2893912196,0.02080728486,2623.048601,2566.693929,5099.504207,0.1187838041,-429.3025208,48.04325485,12.17837334,-4.46797657,-3.945150137,0.5217787027,-11.39874649,2.287393808,-17.0678463,0.661349833,-18.03995895,-4.152279377,-4.75391531,0.7947465181,-3.867057562,1.67718637,0.08147676289,8.423841476,0.2395934016,1.01659596,OAF_Fear
OAF_which_fear.wav,0.2995491922,0.01954116113,2524.363859,2386.465722,4648.989456,0.1281540329,-443.2275085,54.98259735,16.36996841,-0.01239771489,-1.470205069,2.485000372,-12.25738049,-1.055329919,-13.73115635,-3.536415339,-7.989187717,-11.17325783,-1.436690211,0.9435440302,-3.679567575,3.512377739,-3.34702158,9.468838692,3.024898529,-0.9776219726,OAF_Fear
OAF_dab_fear.wav,0.2543795109,0.02449476905,2182.555978,2432.747946,4219.182692,0.08750751202,-431.1747131,61.16653442,7.894577026,-13.06734657,-1.89204967,5.772698879,-15.633214,-2.723189116,-12.94301891,3.073579788,-15.83133411,-7.501471996,-7.814854622,1.435237288,-3.975604296,1.082027555,-4.25326395,1.638300061,-1.506008267,-6.952741623,OAF_Fear
